metric_id,left_out_original_subject,n_sessions,coefficient_pct_points_per_sd_worse
wst_tiling_1_block_distance_maximum,16,68,0.011568774961553613
wst_tiling_2_block_distance_maximum,1,68,0.050675769635953903
wst_tiling_2_block_distance_maximum,2,66,0.035023495195647181
wst_tiling_2_block_distance_maximum,3,67,0.042519921022779739
wst_tiling_2_block_distance_maximum,4,67,0.07093359990228322
wst_tiling_2_block_distance_maximum,5,67,0.057439779347920959
wst_tiling_2_block_distance_maximum,6,67,0.04164955344101514
wst_tiling_2_block_distance_maximum,7,66,0.054760359043203789
wst_tiling_2_block_distance_maximum,8,67,0.046766225784523233
wst_tiling_2_block_distance_maximum,9,66,0.033736755356499559
wst_tiling_2_block_distance_maximum,10,66,0.059750350972365779
wst_tiling_2_block_distance_maximum,11,66,0.040251820506231842
wst_tiling_2_block_distance_maximum,12,66,0.048438459474039061
wst_tiling_2_block_distance_maximum,13,66,0.046640912319610858
wst_tiling_2_block_distance_maximum,14,66,0.065947247232953352
wst_tiling_2_block_distance_maximum,15,66,0.041726131820369022
wst_tiling_2_block_distance_maximum,16,68,0.051900934637559931
