subject,session_idx,session_name,rel_path,block_idx,stored_frame_start,stored_frame_stop_exclusive,n_raw,n_pass,pass_fraction,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons
1,0,8am,subject_1_8am.mat,0,0,20,20,1,0.050000000000000003,0,0,19,15,16.955754802020543,0.76760080936863773,0.21948566300983158,0.081972504521988163,-0.21802749547801181,0.14817837010754162,0,0.91238462621925931,0,0.46411854389945151,0,5,0,0,5,1,1.4970928426184582,0,{}
1,0,8am,subject_1_8am.mat,1,20,40,20,0,0,0,0,20,18,16.885237108165015,0.65788820958971606,0.22909843551726938,0.16525863784230466,-0.13474136215769533,,,,,,,,,,,,,,"{""energy_retention_mad"":""no_qc_passing_frames"",""energy_retention_median"":""no_qc_passing_frames"",""peak_bin_iqr"":""no_qc_passing_frames"",""peak_bin_mad"":""no_qc_passing_frames"",""peak_bin_median"":""no_qc_passing_frames"",""peak_bin_mode"":""no_qc_passing_frames"",""peak_bin_mode_share"":""no_qc_passing_frames"",""peak_range_m_mad"":""no_qc_passing_frames"",""peak_range_m_median"":""no_qc_passing_frames"",""peak_share_mad"":""no_qc_passing_frames"",""peak_share_median"":""no_qc_passing_frames"",""roi_to_total_mad"":""no_qc_passing_frames"",""roi_to_total_median"":""no_qc_passing_frames""}"
1,0,8am,subject_1_8am.mat,2,40,60,20,2,0.10000000000000001,0,0,18,20,16.943642794748406,0.90096719498249023,0.26809891033320354,0.23374103112208999,-0.066258968877909996,0.13578165730241154,0.017166718139224629,0.87371238910812588,0.0053024727902103441,0.44299570013860334,0.022324571125762138,4.5,0.5,0.5,4,0.5,1.3473835583566123,0.14970928426184582,{}
1,0,8am,subject_1_8am.mat,3,60,80,20,15,0.75,0,0,5,20,18.461582072881278,1.2781975077721075,0.35593604253575695,0.25462591243247384,-0.045374087567526145,0.16491630647821034,0.012351522013648142,0.88483297305678532,0.00284805754982842,0.46252724999555084,0.0098942110814579931,5,0,0,5,1,1.4970928426184582,0,{}
1,0,8am,subject_1_8am.mat,4,80,100,20,17,0.84999999999999998,0,0,3,16,18.412404699891272,1.0089011359325486,0.33628082145262572,0.28401761429092187,-0.015982385709078117,0.15819369206185471,0.010909868415529461,0.88989568858570089,0.010783285436669177,0.45825864165586266,0.0042543136203011533,5,0,0,5,1,1.4970928426184582,0,{}
1,1,10am,subject_1_10am.mat,0,0,20,20,18,0.90000000000000002,0,0,2,15,16.955754802020543,0.76762242380054779,0.47305235349306068,0.31279035418992507,0.012790354189925079,0.18855188526982591,0.040649074853447681,0.9188272646670248,0.0028201686113030755,0.4467481474466255,0.0039780152697427573,5,0,0,5,0.94444444444444442,1.4970928426184582,0,{}
1,1,10am,subject_1_10am.mat,1,20,40,20,20,1,0,0,0,18,16.885237108165015,0.65788820958971606,0.48898735766684631,0.43274158328849988,0.13274158328849989,0.19839851955517473,0.016195848972959864,0.92828055471092497,0.0013413812824424332,0.4636828067530665,0.0029812976493232834,5,0,0,5,1,1.4970928426184582,0,{}
1,1,10am,subject_1_10am.mat,2,40,60,20,20,1,0,0,0,20,16.943642794748406,0.90096719498249023,0.54318687938601817,0.49575764920864918,0.19575764920864919,0.23145555104527923,0.035740209809487472,0.93211567620382429,0.0021805435611741419,0.47036904543298363,0.0020450204666560556,5,0,0,5,1,1.4970928426184582,0,{}
1,1,10am,subject_1_10am.mat,3,60,80,20,20,1,0,0,0,20,18.461582072881278,1.2781975077721075,0.65570670580550017,0.51782616408899151,0.21782616408899153,0.37543924189727418,0.064957571461077918,0.93635999020774419,0.0021617046922018379,0.4774461073494346,0.0032702172921394157,5,0,0,5,1,1.4970928426184582,0,{}
1,1,10am,subject_1_10am.mat,4,80,100,20,20,1,0,0,0,16,18.412404699891272,1.0089011359325486,0.61943832228074325,0.54876389724618746,0.24876389724618747,0.32322973877145295,0.050889095363124415,0.93808332952605067,0.00092805813424157169,0.48011277289419607,0.0014315526957975611,5,0,0,5,1,1.4970928426184582,0,{}
