subject,session_a_idx,session_a_name,session_b_idx,session_b_name,recorded_mass_kg,diagnostic_channel,diagnostic_role,tiling_idx,scattering_order,view,between_session_distance,between_distance_numerator,within_a,within_b,epsilon_distance_a,epsilon_distance_b,between_to_within_denominator,between_to_within_ratio,exactly_identical,common_path_count,common_vector_dimension,n_near_zero_path_blocks_a,n_near_zero_path_blocks_b,n_inactive_paths_a,n_inactive_paths_b,missing_reason
5,1,10am,2,12pm,79.799999999999997,mag,primary,0,2,within_path_shape,0.39209620532303063,0.39209620532303063,0.087714411473343842,0.12883740997354626,1.0481377879440931e-13,1.6532499274849433e-13,0.15586178553066404,2.5156660690627732,False,686,4116,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,0,2,path_energy_composition,0.2394350553138706,0.2394350553138706,0.11188490836408074,0.058339246838430496,1.109097068301661e-13,7.1116553321550307e-14,0.12618122063648801,1.8975490497405507,False,686,686,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,0,within_path_shape,0.56804003996451435,0.56804003996451435,0.11655242747140521,0.093516685086459855,7.6532975587310722e-14,1.0040303547700186e-13,0.14943171932035471,3.801335101731238,False,1,5,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,1,within_path_shape,0.040696008653374985,0.040696008653374985,0.023008513264579283,0.028207010293849054,2.1755442362676908e-14,2.8813889356985705e-14,0.03640092186145328,1.1179939015904425,False,54,270,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,1,path_energy_composition,0.73981935904291851,0.73981935904291851,0.11990025140231417,0.19587482716102311,1.0887632729810371e-13,1.6069831298700579e-13,0.22965848166723304,3.2213892283538232,False,54,54,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,2,within_path_shape,0.066849198755764158,0.066849198755764158,0.024029476492696412,0.027782004547161662,2.7044921258160416e-14,3.3075090517143374e-14,0.036732213616545911,1.8199066207556884,False,411,2055,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,1,2,path_energy_composition,0.25442812733870857,0.25442812733870857,0.10770226345697971,0.068090387708791777,1.0846082550506567e-13,6.9587752405265852e-14,0.12742087133625421,1.9967539436085917,False,411,411,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,0,within_path_shape,0.30353226349469697,0.30353226349469697,0.030404019623660447,0.074013514605761138,2.2960168842153321e-14,7.6624819196863549e-14,0.080015028298271243,3.7934406817082249,False,1,5,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
