subject,session_idx,session_name,rel_path,diagnostic_channel,diagnostic_role,tiling_idx,q1,q2,invariance_ms,scattering_order,view,vector_dimension,n_paths,n_near_zero_path_blocks,n_inactive_paths,epsilon_path,epsilon_distance,session_wobble,usable_block_count,cosine_similarity_median,cosine_similarity_minimum,separation_to_wobble_median,separation_to_wobble_maximum,block_to_session_distance_maximum,max_leave_one_block_influence,pair_cosine_values,pair_distance_numerators,pair_separation_denominators,pair_separation_values,pair_exactly_identical,block_to_session_distances,leave_one_block_numerators,leave_one_block_denominators,leave_one_block_values,leave_one_block_exactly_identical,missing_reason
1,0,8am,subject_1_8am.mat,mag,primary,1,8,2,0.29999999999999999,2,within_path_shape,2055,411,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,0,path_energy_composition,1,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],not_applicable_single_path
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,0,within_path_shape,5,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,1,path_energy_composition,43,43,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,1,within_path_shape,215,43,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,2,path_energy_composition,305,305,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,mag,primary,2,6,2,0.40000000000000002,2,within_path_shape,1525,305,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,1,10am,subject_1_10am.mat,iq,sensitivity,0,10,4,0.20000000000000001,0,path_energy_composition,1,1,0,0,1.3708201794746617e-13,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],not_applicable_single_path
1,1,10am,subject_1_10am.mat,iq,sensitivity,0,10,4,0.20000000000000001,0,within_path_shape,12,1,0,0,1.3708201794746617e-13,2.736291450386672e-13,0.2736291450386672,5,0.97535344901083421,0.95132394422026212,0.5693892058990031,0.73911314020482133,0.20216029991979986,0.21505968482350188,"[0.997486160389197,0.9759247475613629,0.9824831742315969,0.9747821504603054,0.9661978212280059,0.9865627176622904,0.9640198757890769,0.9536356884588256,0.9988422959790889,0.9513239442202621]","[0.07053470486312542,0.2297871016116812,0.20486301568027884,0.23409675899460747,0.27529815614332687,0.20559443392086646,0.281879420130921,0.3018033283348095,0.047619221437053265,0.3092312085679432]","[0.5399631647373853,0.40383922707174863,0.5257572778215598,0.41086039842091454,0.4294908321544805,0.5457077686501975,0.43609920955378184,0.4114886035042431,0.2484118004888818,0.41838142463851985]","[0.1306287344571559,0.5690063921671873,0.38965321893234667,0.569772019630819,0.6409872703506436,0.3767482263069154,0.6463653543865419,0.7334427387894776,0.19169468335778422,0.7391131402048213]","[false,false,false,false,false,false,false,false,false,false]","[0.15765390831111298,0.20216029991979986,0.1102601099228949,0.19534969797280805,0.12028424010209518]","[0.02026614983987414,0.03688416549250956,0.033022686743795986,0.04260394933635637,0.05884659769054005]","[0.2736291450386672,0.2736291450386672,0.2736291450386672,0.2736291450386672,0.2736291450386672]","[0.07406429544268861,0.13479618732608825,0.12068409868813305,0.1556996033092012,0.21505968482350188]","[false,false,false,false,false]",
1,1,10am,subject_1_10am.mat,iq,sensitivity,0,10,4,0.20000000000000001,1,path_energy_composition,55,55,0,0,9.780727070046445e-16,4.9003305426161793e-14,0.049003305426161797,5,0.99859340188472867,0.99330883352710386,1.151837627179396,2.0966075780970312,0.067942548456475196,0.29284765933974716,"[0.9990463552137269,0.9979850802857374,0.9955529726977285,0.9933088335271039,0.9996523099062564,0.9986280803521609,0.9970258483096271,0.9994324892724579,0.9985587234172963,0.9995603700986003]","[0.043792411653825865,0.06373778047607272,0.09443734464537835,0.11610654376174012,0.026563151348948814,0.05237359323311944,0.0774635858383159,0.0339001194228239,0.054441712100835406,0.03007748176509229]","[0.05372544260913005,0.056897285673522535,0.058887207228351335,0.055378290613221616,0.04157047290159535,0.04425501412724477,0.03946591151221863,0.048056052780790684,0.043685651019044876,0.04624757467260459]","[0.8151149534947493,1.1202253274752163,1.6036988183048244,2.0966075780970312,0.6389908388059112,1.1834499268835759,1.9627973324354415,0.7054287121220806,1.246214966033158,0.6503580345135184]","[false,false,false,false,false,false,false,false,false,false]","[0.0679425484564752,0.02687801348170671,0.01067623264603084,0.026940295299493197,0.050915641369408446]","[0.0100000767542602,0.010654580763870276,0.0062296957826066465,0.00881128970704876,0.014350503293962215]","[0.0490033054261618,0.0490033054261618,0.0490033054261618,0.0490033054261618,0.0490033054261618]","[0.20406943301668332,0.2174257567160363,0.12712807286017788,0.17981010934712588,0.29284765933974716]","[false,false,false,false,false]",
