subject,session_idx,session_name,rel_path,n_frames,n_pass,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,min_pass,eligible,sha256,axis_spec_hash,axis_verdict,axis_G_fast,axis_G_chirp,axis_D_chirp,axis_D_fast
4,0,8am,subject_4_8am.mat,125,125,0,0,0,0,63,True,871c5dfe7396f8a54ef2db7e370b36276455324530f6cb4a58df22348c0a9827,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2408068324229599,1.500577628870291e-06,0.9999753341681757,0.46392180464812327
4,1,10am,subject_4_10am.mat,125,125,0,0,0,0,63,True,ce3924950d80fc83a3e18df3722c6dd99c1291fb065eec3f39debd714b476615,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23723094066313674,1.2696671161436587e-06,0.9999849603319468,0.4822871742351516
4,2,12pm,subject_4_12pm.mat,125,125,0,0,0,0,63,True,ecc08993d65bae8d7d5d2dc18091054f303227409b0e774e9df92c369132f3fa,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22917177885397103,1.2969322017656924e-06,0.9999846803692178,0.4932768348615835
4,3,2pm,subject_4_2pm.mat,125,125,0,0,0,0,63,True,9086feabd28e31cbf983c7aa9cfaff4eac6a9f49c83ca47d083b1da220a9746e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21340434252779905,1.322743305403254e-06,0.999982759201724,0.5138684744357453
4,4,4pm,subject_4_4pm.mat,125,125,0,0,0,0,63,True,41395819ad80f2da30a22cb607bdda013ab6155c35ddf0533d41cb4d2f4bcc0a,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22346685126358495,1.2755375273759975e-06,0.9999843601038921,0.49614240399752074
5,0,8am,subject_5_8am.mat,125,125,0,0,0,0,63,True,e4d38346631d344b75c7ae95e2bc23bee986890d16a6d2fc880c3ad25e4005cb,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.25000608079846565,1.290511064610192e-06,0.999987302861167,0.4591229529699393
5,1,10am,subject_5_10am.mat,125,125,0,0,0,0,63,True,d97df7deb46c23c8c40c0d2a06185d5702073d9dbeb4c1df796a94138d96a1de,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.19611120691869424,1.2866648166801405e-06,0.9999828021868775,0.552642083769305
5,2,12pm,subject_5_12pm.mat,125,125,0,0,0,0,63,True,d88da6aec24617c9374aea1bd4ae9818a7e3d2617b410e07ed91af1588a7d899,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22762520935701452,1.297107089970592e-06,0.9999817416350684,0.49713330641277903
5,3,2pm,subject_5_2pm.mat,125,125,0,0,0,0,63,True,86a1d7366a385190bd7e8aa5166c096fc5cef783dafab1b9526c5c4533d2d173,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21404332747701482,1.4893573441052285e-06,0.9999825815918727,0.5169670405370931
5,4,4pm,subject_5_4pm.mat,125,125,0,0,0,0,63,True,011153d8495a8ef68c00b65c01e9d809edd4456d5d3348da6c1aa6bc5f1746d3,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23134288855041377,1.3054746971113762e-06,0.9999838370529912,0.48573131469062303
6,0,8am,subject_6_8am.mat,125,125,0,0,0,0,63,True,c99e0b031de116bf30e3d9c65f84753f29caee9951fc10a4b5ec5e2d0ed416d4,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23103034372274284,1.3228001191326273e-06,0.9999852030309775,0.4658872410517962
6,1,10am,subject_6_10am.mat,125,125,0,0,0,0,63,True,5982b8cdf11a0967fcd693d2ed47c69ae41d13b419447eb84e8c2828fb344c97,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21921872672586845,1.2964326475732718e-06,0.9999860020502879,0.5121309396953706
6,2,12pm,subject_6_12pm.mat,125,125,0,0,0,0,63,True,4c15b35a178e6aacd71384aefe3a458e42921dfe93a2a3ef165e024382106cbf,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20482063979866516,1.2915405634935721e-06,0.999984881246154,0.5247435110254622
6,3,2pm,subject_6_2pm.mat,125,125,0,0,0,0,63,True,2c428a78ec5ff39ef4d2e4d5ad507eb94446b4f6317e62c9f681867b9fc1cd6e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23287570150028739,1.3209025991418068e-06,0.9999843635537009,0.47782911536084327
6,4,4pm,subject_6_4pm.mat,125,125,0,0,0,0,63,True,4116ead94269e0912379656f075f75877d41267a719286800c1628c6331b155c,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20656984560566247,1.4817709912686059e-06,0.9999715436473923,0.5267230688493193
7,0,8am,subject_7_8am.mat,125,125,0,0,0,0,63,True,9676014292b813e493266f1e7e3d0c29c88e8fff33918a6b706f14c3604b56d4,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2871171463946635,1.3179253166984327e-06,0.9999868514318361,0.3782254662346648
7,1,10am,subject_7_10am.mat,125,52,73,0,0,73,63,False,32b0ec585e32686521343167ff26b7308318f09096758652725bc004663ec1fe,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.18219763713342602,1.2500669528672144e-06,0.9999778537362126,0.5703097042586533
