test_subject,feature_key,family,params
1,"(1, 'A', 'mag', 0, 'tuned')",svr,"{'C': 1.0, 'epsilon': 0.1}"
2,"(1, 'A', 'mag', 0, 'tuned')",rf,"{'max_depth': None, 'n_estimators': 300}"
3,"(1, 'A', 'mag', 0, 'tuned')",knn,{'n_neighbors': 11}
4,"(1, 'A', 'mag', 0, 'tuned')",knn,{'n_neighbors': 13}
5,"(1, 'A', 'mag', 0, 'tuned')",knn,{'n_neighbors': 13}
6,"(1, 'A', 'iq', 2, 'frozen')",gbm,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}"
7,"(1, 'A', 'mag', 2, 'tuned')",svr,"{'C': 0.1, 'epsilon': 0.01}"
8,"(1, 'A', 'mag', 2, 'tuned')",svr,"{'C': 0.1, 'epsilon': 0.3}"
9,"(1, 'A', 'iq', 1, 'tuned')",knn,{'n_neighbors': 5}
10,"(1, 'A', 'mag', 2, 'tuned')",knn,{'n_neighbors': 13}
11,"(1, 'A', 'iq', 1, 'frozen')",svr,"{'C': 0.1, 'epsilon': 0.01}"
12,"(1, 'A', 'iq', 0, 'frozen')",gbm,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}"
13,"(1, 'A', 'mag', 0, 'tuned')",knn,{'n_neighbors': 13}
14,"(1, 'A', 'mag', 2, 'tuned')",svr,"{'C': 0.1, 'epsilon': 0.01}"
15,"(1, 'A', 'mag', 0, 'tuned')",gbm,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 300}"
16,"(1, 'A', 'mag', 0, 'tuned')",knn,{'n_neighbors': 13}
