subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
4,4,4pm,subject_4_4pm.mat,125,0,mean,424,8,-0.001370667542496669,0.02365954154178074,0.00015988131536071954,True,180.28
4,4,4pm,subject_4_4pm.mat,125,0,median,424,8,-0.0020050870167810622,0.02358062542224903,0.00015737516250000452,True,180.28
4,4,4pm,subject_4_4pm.mat,125,1,mean,453,4,-0.001186770328583532,0.020663396677312065,0.00017489720113587578,True,180.28
4,4,4pm,subject_4_4pm.mat,125,1,median,453,4,-0.0020881084997386315,0.020430657039657442,0.00017252672305643747,True,180.28
4,4,4pm,subject_4_4pm.mat,125,2,mean,182,4,-0.00012677346318719102,0.02415275660955643,0.0005475149680429042,True,180.28
4,4,4pm,subject_4_4pm.mat,125,2,median,182,4,-0.0007789349899696707,0.0239769970220267,0.0005425809938495822,True,180.28
