subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
5,3,2pm,subject_5_2pm.mat,125,0,mean,424,8,-0.0015623199480956605,0.02640270722686444,0.00017531402624671122,True,175.24
5,3,2pm,subject_5_2pm.mat,125,0,median,424,8,-0.0017157078009243788,0.02639677077726221,0.0001740670197596372,True,175.24
5,3,2pm,subject_5_2pm.mat,125,1,mean,453,4,-0.0013617778135953337,0.022827797168987495,0.00019319235922121827,True,175.24
5,3,2pm,subject_5_2pm.mat,125,1,median,453,4,-0.001131103719711032,0.0227695136412449,0.00019134198445196527,True,175.24
5,3,2pm,subject_5_2pm.mat,125,2,mean,182,4,-0.00013721483561275377,0.026988979121298856,0.0006113782370332466,True,175.24
5,3,2pm,subject_5_2pm.mat,125,2,median,182,4,-0.00018458909449684972,0.026938273538962082,0.00060897652735552,True,175.24
