subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
3,4,4pm,subject_3_4pm.mat,125,0,mean,424,8,-0.001953267193554861,0.030963804151595664,0.00021017528775614291,True,171.24
3,4,4pm,subject_3_4pm.mat,125,0,median,424,8,-0.0018163271930270192,0.03093114425538607,0.00020949706015075604,True,171.24
3,4,4pm,subject_3_4pm.mat,125,1,mean,453,4,-0.001589639608308434,0.026826462816346507,0.00023086567806762892,True,171.24
3,4,4pm,subject_3_4pm.mat,125,1,median,453,4,-0.0015855880344145777,0.026613717384272855,0.00023004086969789995,True,171.24
3,4,4pm,subject_3_4pm.mat,125,2,mean,182,4,-0.0004390727952873232,0.03120328704848993,0.0007263727263000081,True,171.24
3,4,4pm,subject_3_4pm.mat,125,2,median,182,4,-0.0003233196268042043,0.030936436448872347,0.0007299192102496284,True,171.24
