subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
11,4,4pm,subject_11_4pm.mat,125,0,mean,424,8,-0.0023906580347986955,0.02766346488383376,0.00018773187948704836,True,182.59
11,4,4pm,subject_11_4pm.mat,125,0,median,424,8,-0.0025164852681061017,0.02736999828144846,0.00018650489933975012,True,182.59
11,4,4pm,subject_11_4pm.mat,125,1,mean,453,4,-0.0020154549495144027,0.023792535230588472,0.00020611835179526263,True,182.59
11,4,4pm,subject_11_4pm.mat,125,1,median,453,4,-0.002258684907438416,0.023567321010099063,0.0002041978516368474,True,182.59
11,4,4pm,subject_11_4pm.mat,125,2,mean,182,4,-0.0007414573795558658,0.02764216436075054,0.0006486973308285381,True,182.59
11,4,4pm,subject_11_4pm.mat,125,2,median,182,4,-0.0006029686706858508,0.02749798255826893,0.0006428194742603829,True,182.59
