subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
5,4,4pm,subject_5_4pm.mat,125,0,mean,424,8,-0.0010784653130912554,0.02505632524596276,0.00016845659033251935,True,178.45
5,4,4pm,subject_5_4pm.mat,125,0,median,424,8,-0.0010607292497100754,0.024873086265428612,0.00016633121904456897,True,178.45
5,4,4pm,subject_5_4pm.mat,125,1,mean,453,4,-0.0008631506238444384,0.021833680018564415,0.00018351710267732645,True,178.45
5,4,4pm,subject_5_4pm.mat,125,1,median,453,4,-0.0009306170983442532,0.021729812861708355,0.0001817631189568299,True,178.45
5,4,4pm,subject_5_4pm.mat,125,2,mean,182,4,-0.000362025738269311,0.02548136496384719,0.0005778589159981472,True,178.45
5,4,4pm,subject_5_4pm.mat,125,2,median,182,4,-0.00036179243302344294,0.02557058072812251,0.0005752617313655166,True,178.45
