subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
14,0,8am,subject_14_8am.mat,125,0,mean,424,8,-0.0023833590084523758,0.03380091817338684,0.000228881328139649,True,177.61
14,0,8am,subject_14_8am.mat,125,0,median,424,8,-0.002269301042277257,0.033596758874027216,0.00022660853713486864,True,177.61
14,0,8am,subject_14_8am.mat,125,1,mean,453,4,-0.0021061434054994214,0.029129542025667348,0.0002512564642105851,True,177.61
14,0,8am,subject_14_8am.mat,125,1,median,453,4,-0.0021556751719373464,0.02904630583860237,0.00024923628186327383,True,177.61
14,0,8am,subject_14_8am.mat,125,2,mean,182,4,-0.0009185310189225377,0.03376248588887158,0.0007900014460358854,True,177.61
14,0,8am,subject_14_8am.mat,125,2,median,182,4,-0.0010106977084751857,0.033702541889432315,0.000785674023293791,True,177.61
