subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
10,0,8am,subject_10_8am.mat,125,0,mean,424,8,-0.00207502019738776,0.02815417636965601,0.0001905356298177128,True,164.64
10,0,8am,subject_10_8am.mat,125,0,median,424,8,-0.0024045015332254554,0.028115441439811577,0.0001885553099381376,True,164.64
10,0,8am,subject_10_8am.mat,125,1,mean,453,4,-0.0018310625832027058,0.024328386470621785,0.00020856443539406125,True,164.64
10,0,8am,subject_10_8am.mat,125,1,median,453,4,-0.002023242707958397,0.024310888026145956,0.0002066655266091569,True,164.64
10,0,8am,subject_10_8am.mat,125,2,mean,182,4,-0.001093970146572136,0.028299685129116826,0.0006562931131967631,True,164.64
10,0,8am,subject_10_8am.mat,125,2,median,182,4,-0.0009963898830174667,0.02829166319334093,0.0006528372096233901,True,164.64
