subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
9,0,8am,subject_9_8am.mat,125,0,mean,424,8,-0.0010200222128077746,0.02277497924342695,0.000148763800347408,True,178.95
9,0,8am,subject_9_8am.mat,125,0,median,424,8,-0.0014885056205814944,0.02267975349579375,0.0001473513096479467,True,178.95
9,0,8am,subject_9_8am.mat,125,1,mean,453,4,-0.0008049569227938755,0.019856260051186733,0.00016379937708110176,True,178.95
9,0,8am,subject_9_8am.mat,125,1,median,453,4,-0.0014821316144456986,0.01987456699895732,0.00016287034093160079,True,178.95
9,0,8am,subject_9_8am.mat,125,2,mean,182,4,-3.4171466330955454e-05,0.023291902448792104,0.0005189189822844374,True,178.95
9,0,8am,subject_9_8am.mat,125,2,median,182,4,-0.00044238631680421385,0.023234283036129726,0.0005170119155293025,True,178.95
