subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
14,3,2pm,subject_14_2pm.mat,125,0,mean,424,8,-0.0016614815743562423,0.03287600047524126,0.0002238451375368053,True,174.13
14,3,2pm,subject_14_2pm.mat,125,0,median,424,8,-0.0016170587853705952,0.03269267346630644,0.00022218666658324767,True,174.13
14,3,2pm,subject_14_2pm.mat,125,1,mean,453,4,-0.0015161661422258546,0.02821486283614387,0.0002451664915285438,True,174.13
14,3,2pm,subject_14_2pm.mat,125,1,median,453,4,-0.0014709609424313045,0.02811475656209857,0.0002439735237301895,True,174.13
14,3,2pm,subject_14_2pm.mat,125,2,mean,182,4,-0.00044929287708383146,0.03268651952257876,0.0007707939390800948,True,174.13
14,3,2pm,subject_14_2pm.mat,125,2,median,182,4,-0.00023853058561962705,0.03257352474075112,0.0007693491585024317,True,174.13
