subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
11,3,2pm,subject_11_2pm.mat,125,0,mean,424,8,-0.002355792349425889,0.028338071609974883,0.00019354388298100427,True,187.55
11,3,2pm,subject_11_2pm.mat,125,0,median,424,8,-0.001859696894749109,0.0283431058260103,0.0001921662384233036,True,187.55
11,3,2pm,subject_11_2pm.mat,125,1,mean,453,4,-0.0019045498441098868,0.024355118276468888,0.00021168950328076443,True,187.55
11,3,2pm,subject_11_2pm.mat,125,1,median,453,4,-0.0016422975709854282,0.024422101633482064,0.00021096845928939755,True,187.55
11,3,2pm,subject_11_2pm.mat,125,2,mean,182,4,-0.0006733563240318178,0.028252806042611586,0.0006660194196095814,True,187.55
11,3,2pm,subject_11_2pm.mat,125,2,median,182,4,-0.0004454152477130732,0.028389271999799324,0.0006689194633900145,True,187.55
