subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
1,1,10am,subject_1_10am.mat,125,0,mean,424,8,-0.000800258326480922,0.025140765168422938,0.00017003296103845772,True,157.68
1,1,10am,subject_1_10am.mat,125,0,median,424,8,-0.0005765620400511092,0.025053122355638544,0.00016826622624264062,True,157.68
1,1,10am,subject_1_10am.mat,125,1,mean,453,4,-0.0005293943663960288,0.021690544419329404,0.00018636334036574003,True,157.68
1,1,10am,subject_1_10am.mat,125,1,median,453,4,-0.00020734844607447314,0.021702728039376368,0.00018484833865575415,True,157.68
1,1,10am,subject_1_10am.mat,125,2,mean,182,4,5.4965499717861844e-05,0.025414399907740325,0.0005861676431119483,True,157.68
1,1,10am,subject_1_10am.mat,125,2,median,182,4,0.0001192516384956059,0.02533739384960937,0.0005855190701167313,True,157.68
