subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
4,1,10am,subject_4_10am.mat,125,0,mean,424,8,-0.001363808533451652,0.026144449671928208,0.00017603477364762165,True,158.8
4,1,10am,subject_4_10am.mat,125,0,median,424,8,-0.0013680905325468419,0.02594005579005391,0.0001734883645096034,True,158.8
4,1,10am,subject_4_10am.mat,125,1,mean,453,4,-0.001069105804650959,0.022572218620927856,0.00019290673066713944,True,158.8
4,1,10am,subject_4_10am.mat,125,1,median,453,4,-0.0007712229654876855,0.022499405360863096,0.00019025407790863183,True,158.8
4,1,10am,subject_4_10am.mat,125,2,mean,182,4,-0.00041342480219357493,0.026257540121679725,0.0006086704206428915,True,158.8
4,1,10am,subject_4_10am.mat,125,2,median,182,4,7.408818308423889e-05,0.026252383055009633,0.0006003694182222548,True,158.8
