subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
16,3,2pm,subject_16_2pm.mat,125,0,mean,424,8,-0.0012956867756316777,0.027060581023252414,0.0001801701064262535,True,180.96
16,3,2pm,subject_16_2pm.mat,125,0,median,424,8,-0.0017130355025436399,0.02666573729018447,0.00017867590895231193,True,180.96
16,3,2pm,subject_16_2pm.mat,125,1,mean,453,4,-0.0011446879409296976,0.023419533546671645,0.00019737038586714476,True,180.96
16,3,2pm,subject_16_2pm.mat,125,1,median,453,4,-0.0014911429173271552,0.02306668818425046,0.0001963073897132125,True,180.96
16,3,2pm,subject_16_2pm.mat,125,2,mean,182,4,-0.0004150309071754175,0.027810958336547655,0.0006210530483801576,True,180.96
16,3,2pm,subject_16_2pm.mat,125,2,median,182,4,-0.0003600283895088277,0.027528481515089603,0.0006186996222667901,True,180.96
