subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
8,2,12pm,subject_8_12pm.mat,125,0,mean,424,8,-0.0020855538417971446,0.02924629940219159,0.00019977403334750206,True,177.59
8,2,12pm,subject_8_12pm.mat,125,0,median,424,8,-0.002431134214610637,0.029237498926247947,0.0001982569130643915,True,177.59
8,2,12pm,subject_8_12pm.mat,125,1,mean,453,4,-0.0017921174563143587,0.0251718883585879,0.00021850583105882145,True,177.59
8,2,12pm,subject_8_12pm.mat,125,1,median,453,4,-0.0018263457277889266,0.02521436730394826,0.0002178830584068381,True,177.59
8,2,12pm,subject_8_12pm.mat,125,2,mean,182,4,-0.0007079053217939496,0.02922603311950342,0.0006863356725091848,True,177.59
8,2,12pm,subject_8_12pm.mat,125,2,median,182,4,-0.0007791019243342003,0.029349887697826635,0.0006845705572411348,True,177.59
