subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
1,0,8am,subject_1_8am.mat,125,0,mean,424,8,-0.0015042841389996458,0.030095562299447765,0.00020454405916342297,True,147.23
1,0,8am,subject_1_8am.mat,125,0,median,424,8,-0.0020793602112073083,0.0300353766870516,0.00020271647699597858,True,147.23
1,0,8am,subject_1_8am.mat,125,1,mean,453,4,-0.0011844649264970836,0.02588112688594342,0.0002237220998431995,True,147.23
1,0,8am,subject_1_8am.mat,125,1,median,453,4,-0.001154060041088486,0.02578132197606172,0.0002226036429621663,True,147.23
1,0,8am,subject_1_8am.mat,125,2,mean,182,4,3.844194628515316e-05,0.030023656298291276,0.0007055481618552723,True,147.23
1,0,8am,subject_1_8am.mat,125,2,median,182,4,-0.00025229701167490937,0.030013007225760502,0.0007035114569527495,True,147.23
