subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
12,2,12pm,subject_12_12pm.mat,125,0,mean,424,8,-0.0015153569897471478,0.025460361931706144,0.00017006410738832777,True,178.14
12,2,12pm,subject_12_12pm.mat,125,0,median,424,8,-0.0019896517670651027,0.025175926246533975,0.00016838536012670456,True,178.14
12,2,12pm,subject_12_12pm.mat,125,1,mean,453,4,-0.001293684406610588,0.022101512649465253,0.00018626557834847075,True,178.14
12,2,12pm,subject_12_12pm.mat,125,1,median,453,4,-0.0012756401462908394,0.02191678439289439,0.00018468560538222967,True,178.14
12,2,12pm,subject_12_12pm.mat,125,2,mean,182,4,-0.00047298536951600047,0.02583314761515449,0.000587375727676912,True,178.14
12,2,12pm,subject_12_12pm.mat,125,2,median,182,4,-0.00043200019145099664,0.025564541023955653,0.0005821978258603353,True,178.14
