subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
11,0,8am,subject_11_8am.mat,125,0,mean,424,8,-0.0009725229162772758,0.02191849668190963,0.00014796726047619507,True,168.82
11,0,8am,subject_11_8am.mat,125,0,median,424,8,-0.0015604596536545933,0.02187089035903453,0.00014686656627888354,True,168.82
11,0,8am,subject_11_8am.mat,125,1,mean,453,4,-0.0006323249931475319,0.018885417170480416,0.00016189864842259698,True,168.82
11,0,8am,subject_11_8am.mat,125,1,median,453,4,-0.0005393601081850946,0.018879302064121355,0.00016131200195641392,True,168.82
11,0,8am,subject_11_8am.mat,125,2,mean,182,4,0.0004907005830650829,0.022058024954197557,0.0005094889456174476,True,168.82
11,0,8am,subject_11_8am.mat,125,2,median,182,4,-4.456643610160774e-05,0.02201690233137644,0.0005093946514141601,True,168.82
