subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
13,4,4pm,subject_13_4pm.mat,125,0,mean,424,8,-0.0015754957538282937,0.025989287271539104,0.00016920898845009712,True,179.0
13,4,4pm,subject_13_4pm.mat,125,0,median,424,8,-0.001499239276454108,0.02588326267318829,0.0001685464782424693,True,179.0
13,4,4pm,subject_13_4pm.mat,125,1,mean,453,4,-0.0012462263328612748,0.02256909346900348,0.00018569796370654037,True,179.0
13,4,4pm,subject_13_4pm.mat,125,1,median,453,4,-0.0015606176653372961,0.022599032498746154,0.00018502850377149604,True,179.0
13,4,4pm,subject_13_4pm.mat,125,2,mean,182,4,-0.0003152432851237795,0.026344637192374013,0.0005880277421647774,True,179.0
13,4,4pm,subject_13_4pm.mat,125,2,median,182,4,-0.0005232901708296852,0.02638345595702061,0.0005855490706648171,True,179.0
