subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
1,3,2pm,subject_1_2pm.mat,125,0,mean,424,8,-0.0011344976291321647,0.030233174535219252,0.00020441715072885342,True,155.98
1,3,2pm,subject_1_2pm.mat,125,0,median,424,8,-0.0013382612760955365,0.030170422616745324,0.00020291549956506804,True,155.98
1,3,2pm,subject_1_2pm.mat,125,1,mean,453,4,-0.0008523972560691262,0.026103494044276202,0.00022392733658697716,True,155.98
1,3,2pm,subject_1_2pm.mat,125,1,median,453,4,-0.0006721433894583038,0.026082260092882045,0.00022218220224323672,True,155.98
1,3,2pm,subject_1_2pm.mat,125,2,mean,182,4,0.00019940824809894057,0.030305863601328278,0.0007052573492766544,True,155.98
1,3,2pm,subject_1_2pm.mat,125,2,median,182,4,0.000952039165938305,0.030364533291408695,0.0007045971923289101,True,155.98
