subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
3,1,10am,subject_3_10am.mat,125,0,mean,424,8,-0.001367268460069764,0.025532561999331863,0.00016698219647689555,True,164.58
3,1,10am,subject_3_10am.mat,125,0,median,424,8,-0.0008780734367068829,0.02536483146472568,0.00016529842587802005,True,164.58
3,1,10am,subject_3_10am.mat,125,1,mean,453,4,-0.0011517834442200696,0.02217070717461816,0.00018478168507079612,True,164.58
3,1,10am,subject_3_10am.mat,125,1,median,453,4,-0.0009286304663506219,0.022033328681777972,0.00018434954372629204,True,164.58
3,1,10am,subject_3_10am.mat,125,2,mean,182,4,-0.0001986579201620352,0.02620772509642738,0.0005926539537844618,True,164.58
3,1,10am,subject_3_10am.mat,125,2,median,182,4,8.13631365657408e-05,0.025997063128715966,0.0005892600378312456,True,164.58
