subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
3,3,2pm,subject_3_2pm.mat,125,0,mean,424,8,-0.002347819952859056,0.02719348829195428,0.00018011469093562256,True,174.03
3,3,2pm,subject_3_2pm.mat,125,0,median,424,8,-0.002009611168775247,0.02707869670134088,0.00017840790467156393,True,174.03
3,3,2pm,subject_3_2pm.mat,125,1,mean,453,4,-0.00215962872898998,0.02356964014958991,0.0001969679967289723,True,174.03
3,3,2pm,subject_3_2pm.mat,125,1,median,453,4,-0.0017753183254719876,0.023492099561909403,0.00019550327695560003,True,174.03
3,3,2pm,subject_3_2pm.mat,125,2,mean,182,4,-0.001014277363565078,0.027544881334338626,0.0006227958799741013,True,174.03
3,3,2pm,subject_3_2pm.mat,125,2,median,182,4,-0.0007353554810489943,0.027523814163291367,0.0006213030658658635,True,174.03
