subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
14,1,10am,subject_14_10am.mat,125,0,mean,424,8,-0.0010699681577917867,0.02516744883199365,0.00016490179038343455,True,199.2
14,1,10am,subject_14_10am.mat,125,0,median,424,8,-0.0013378402153123546,0.025072116308354063,0.0001634189931262097,True,199.2
14,1,10am,subject_14_10am.mat,125,1,mean,453,4,-0.0008120901193075145,0.022205502755943095,0.00018132537166022178,True,199.2
14,1,10am,subject_14_10am.mat,125,1,median,453,4,-0.000778681738091854,0.02208856971590787,0.00017973566907178646,True,199.2
14,1,10am,subject_14_10am.mat,125,2,mean,182,4,3.422931305234613e-05,0.026078555586579774,0.000571546655576858,True,199.2
14,1,10am,subject_14_10am.mat,125,2,median,182,4,0.00044601399634022336,0.025804029218183255,0.0005690441065700469,True,199.2
