subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
12,3,2pm,subject_12_2pm.mat,125,0,mean,424,8,-0.0026711468631015166,0.02405813822841426,0.0001527524012305343,True,187.51
12,3,2pm,subject_12_2pm.mat,125,0,median,424,8,-0.0025743479379923668,0.023759447384293347,0.00015136454517645207,True,187.51
12,3,2pm,subject_12_2pm.mat,125,1,mean,453,4,-0.002514183333290938,0.020924982699679517,0.00016853277580658227,True,187.51
12,3,2pm,subject_12_2pm.mat,125,1,median,453,4,-0.002418706382337627,0.020804142271233887,0.00016729392856377798,True,187.51
12,3,2pm,subject_12_2pm.mat,125,2,mean,182,4,-0.0013725539418232274,0.02452173356336696,0.0005358613715877886,True,187.51
12,3,2pm,subject_12_2pm.mat,125,2,median,182,4,-0.0008161660479218253,0.02425541133817896,0.0005338679362986654,True,187.51
