subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
10,4,4pm,subject_10_4pm.mat,125,0,mean,424,8,-0.0008498629557616327,0.027074626329045816,0.00018218489446965736,True,167.89
10,4,4pm,subject_10_4pm.mat,125,0,median,424,8,-0.0005201693698084001,0.026827442180839683,0.00018047653978329223,True,167.89
10,4,4pm,subject_10_4pm.mat,125,1,mean,453,4,-0.000534899580474528,0.023274027083833127,0.00019911851328999476,True,167.89
10,4,4pm,subject_10_4pm.mat,125,1,median,453,4,-0.0005739577633472066,0.023213683632363848,0.00019720213116447961,True,167.89
10,4,4pm,subject_10_4pm.mat,125,2,mean,182,4,9.084872350806068e-05,0.027045572912292898,0.0006292899439209189,True,167.89
10,4,4pm,subject_10_4pm.mat,125,2,median,182,4,0.0001584439921293165,0.026902916549068526,0.0006217563874647722,True,167.89
