subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
16,2,12pm,subject_16_12pm.mat,125,0,mean,424,8,-0.000707145148686709,0.02568309431622824,0.0001735382648411278,True,181.83
16,2,12pm,subject_16_12pm.mat,125,0,median,424,8,-0.0012408535325610119,0.025516079390177172,0.0001715384168243577,True,181.83
16,2,12pm,subject_16_12pm.mat,125,1,mean,453,4,-0.00043026132078669813,0.022410483614523836,0.00019024175657331266,True,181.83
16,2,12pm,subject_16_12pm.mat,125,1,median,453,4,-0.000852382533964296,0.022129010528900185,0.00018806963992020598,True,181.83
16,2,12pm,subject_16_12pm.mat,125,2,mean,182,4,0.0004597320772356317,0.02644751103029594,0.0005996554153893832,True,181.83
16,2,12pm,subject_16_12pm.mat,125,2,median,182,4,-0.00015176594328631743,0.026211455338547723,0.0005929424292081614,True,181.83
