subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
8,1,10am,subject_8_10am.mat,125,0,mean,424,8,-0.0011297672197661192,0.02764599178821013,0.00018583710711954804,True,175.54
8,1,10am,subject_8_10am.mat,125,0,median,424,8,-0.0015747910896327134,0.02752957477748495,0.00018495155729206236,True,175.54
8,1,10am,subject_8_10am.mat,125,1,mean,453,4,-0.0009590557158712704,0.024027071525625103,0.00020416236978597124,True,175.54
8,1,10am,subject_8_10am.mat,125,1,median,453,4,-0.0009150843566869803,0.023857218462412552,0.00020270601497297206,True,175.54
8,1,10am,subject_8_10am.mat,125,2,mean,182,4,-0.00038279106186389774,0.027959626839366567,0.0006416291550211833,True,175.54
8,1,10am,subject_8_10am.mat,125,2,median,182,4,-0.0004285446812484256,0.02775248716880155,0.0006380342378045898,True,175.54
