subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
6,0,8am,subject_6_8am.mat,125,0,mean,424,8,-0.0007561537280623494,0.0271113122902444,0.00018434070151524548,True,155.17
6,0,8am,subject_6_8am.mat,125,0,median,424,8,-0.0009516403070836627,0.026849670249852037,0.00018216278163404848,True,155.17
6,0,8am,subject_6_8am.mat,125,1,mean,453,4,-0.0005695990858545904,0.023420975665275845,0.0002018893720261704,True,155.17
6,0,8am,subject_6_8am.mat,125,1,median,453,4,-0.0006234196672276794,0.02341131493610011,0.00019927095743330517,True,155.17
6,0,8am,subject_6_8am.mat,125,2,mean,182,4,0.00015196701987623892,0.027227742111113416,0.0006337880976644922,True,155.17
6,0,8am,subject_6_8am.mat,125,2,median,182,4,0.00023959763486654142,0.027261350819015633,0.0006286240477343035,True,155.17
