subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
11,2,12pm,subject_11_12pm.mat,125,0,mean,424,8,-0.0023914226047380316,0.02940370852004913,0.00020109257617358393,True,187.0
11,2,12pm,subject_11_12pm.mat,125,0,median,424,8,-0.0021806229257706243,0.02907488241506008,0.000198385893355968,True,187.0
11,2,12pm,subject_11_12pm.mat,125,1,mean,453,4,-0.0019582527234934884,0.025250024185510783,0.00022058710209359818,True,187.0
11,2,12pm,subject_11_12pm.mat,125,1,median,453,4,-0.0015973352417186374,0.024985199896035766,0.00021677009681748656,True,187.0
11,2,12pm,subject_11_12pm.mat,125,2,mean,182,4,-6.068094972148767e-05,0.02929215276553855,0.0006921664804429151,True,187.0
11,2,12pm,subject_11_12pm.mat,125,2,median,182,4,-0.0006217212736235768,0.029011265232413885,0.0006830707754846702,True,187.0
