subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
15,2,12pm,subject_15_12pm.mat,125,0,mean,424,8,-0.002455458918292957,0.03607872774139871,0.0002457547026774163,True,168.34
15,2,12pm,subject_15_12pm.mat,125,0,median,424,8,-0.0019777239197446617,0.03596360818589882,0.0002441879741928939,True,168.34
15,2,12pm,subject_15_12pm.mat,125,1,mean,453,4,-0.0020725129010235564,0.03096181182797149,0.000268995714264732,True,168.34
15,2,12pm,subject_15_12pm.mat,125,1,median,453,4,-0.0015688054803776486,0.030907502128309866,0.000267328230845841,True,168.34
15,2,12pm,subject_15_12pm.mat,125,2,mean,182,4,-0.0002643646484744935,0.03580368519905752,0.0008473256900771574,True,168.34
15,2,12pm,subject_15_12pm.mat,125,2,median,182,4,-0.00037442773840039886,0.03567033594151509,0.0008460901549665822,True,168.34
