subject,session_idx,session_name,rel_path,n_frames,tiling_idx,fusion,n_paths,n_time,prelog_v0,prelog_v1,prelog_v2,all_finite,extract_seconds
7,4,4pm,subject_7_4pm.mat,125,0,mean,424,8,-0.0015616666534005465,0.029686630602790975,0.00019834020842379366,True,149.23
7,4,4pm,subject_7_4pm.mat,125,0,median,424,8,-0.0016440386763922222,0.02964156973060948,0.0001964242687385156,True,149.23
7,4,4pm,subject_7_4pm.mat,125,1,mean,453,4,-0.0014175224503779251,0.025737729021490355,0.00021807691454199318,True,149.23
7,4,4pm,subject_7_4pm.mat,125,1,median,453,4,-0.0013863504959682805,0.02565255727174734,0.0002164445575824862,True,149.23
7,4,4pm,subject_7_4pm.mat,125,2,mean,182,4,-0.00029337863538846787,0.030042616557930994,0.0006866959528314376,True,149.23
7,4,4pm,subject_7_4pm.mat,125,2,median,182,4,-0.0005111979463416631,0.029970019663818022,0.000684510700065393,True,149.23
